# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.08832     0.35326     0.08832    1.323012061    0.738633485   -0.584378576
     1       2     0.08537     0.34149     0.08537    1.485570953    0.910347832   -0.575223121
     1       2     0.08243     0.32971     0.08243    1.650731815    1.085835294   -0.564896521
     1       2     0.07948     0.31794     0.07948    1.817534020    1.263204914   -0.554329106
     1       2     0.07654     0.30616     0.07654    1.986757479    1.441663926   -0.545093553
     1       2     0.07360     0.29439     0.07360    2.157898381    1.619136171   -0.538762211
     1       2     0.07065     0.28261     0.07065    2.331102512    1.795272064   -0.535830449
     1       2     0.06771     0.27084     0.06771    2.506222261    1.971024317   -0.535197944
     1       2     0.06477     0.25906     0.06477    2.683118530    2.147879893   -0.535238637
     1       2     0.06182     0.24728     0.06182    2.861672699    2.326345917   -0.535326782
     1       2     0.05888     0.23551     0.05888    3.041750628    2.506586788   -0.535163840
     1       2     0.05593     0.22373     0.05593    3.223188624    2.688272880   -0.534915745
     1       2     0.05299     0.21196     0.05299    3.405823742    2.871473062   -0.534350680
     1       2     0.05005     0.20018     0.05005    3.589397930    3.057430313   -0.531967617
     1       2     0.04710     0.18841     0.04710    3.773667770    3.247769721   -0.525898049
     1       2     0.04416     0.17663     0.04416    3.958335916    3.442698594   -0.515637322
     1       2     0.04121     0.16486     0.04121    4.143070628    3.640784680   -0.502285949
     1       2     0.03827     0.15308     0.03827    4.327273363    3.839574400   -0.487698962
     1       2     0.03533     0.14131     0.03533    4.510452260    4.036867155   -0.473585105
     1       2     0.03238     0.12953     0.03238    4.691900624    4.230799106   -0.461101518
     1       2     0.02944     0.11775     0.02944    4.870767473    4.419924650   -0.450842822
     1       2     0.02649     0.10598     0.02649    5.045853153    4.602871357   -0.442981796
     1       2     0.02355     0.09420     0.02355    5.215826071    4.778420593   -0.437405478
     1       2     0.02061     0.08243     0.02061    5.378746502    4.944931715   -0.433814787
     1       2     0.01766     0.07065     0.01766    5.532277202    5.100485567   -0.431791636
     1       2     0.01472     0.05888     0.01472    5.673520987    5.242661781   -0.430859206
     1       2     0.01178     0.04710     0.01178    5.798799895    5.368249298   -0.430550597
     1       2     0.00883     0.03533     0.00883    5.903591446    5.473096846   -0.430494601
     1       2     0.00589     0.02355     0.00589    5.983284807    5.552793258   -0.430491548
     1       2     0.00294     0.01178     0.00294    6.033500955    5.603009425   -0.430491531
     1       2     0.00000     0.00000     0.00000    6.050663150    5.620171620   -0.430491530
     1       3     0.30616     0.30616     0.30616    4.852761872    4.362098104   -0.490663768
