energy epsilon1 epsilon2
2.24 2.2830315188843673 0.32012337972233
2.25 2.2560305670118708 0.007656812417212
2.26 2.207251285837516 0.37309583093191
2.27 2.123903411570392 0.021311653008515
2.28 2.221220348390222 9.6588538811808e-07
2.29 2.3224303673877 0.00013075515961084
2.3 2.3454711318865415 0.22012260216738
2.31 2.372815793094517 0.17112488367361
2.32 2.0933567127131396 0.8575158813161
2.33 1.8696332330928898 0.0053574775119291
2.34 2.0305905095055437 0.00015593320272986
2.35 2.0974559150295415 1.6055885255146e-06
2.36 2.142679773825219 2.1724525830169e-05
2.37 2.183747899033623 0.013234835608427
2.38 2.176135914451763 0.10640621171304
2.39 2.1365907754161935 0.073605722435038
2.4 2.1445268324151465 0.00011452474281946
2.41 2.174836502016517 1.0960683642828e-05
2.42 2.1939548954988406 1.1256278590532e-07
2.43 2.209968118660779 2.3596572694073e-05
2.44 2.2252711021953195 5.5638070271582e-06
2.45 2.2414182893428434 2.3504323646039e-05
2.46 2.2604079290730037 6.9283893535554e-06
