# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.20853     0.30179     0.29151  -19.497782813  -26.874507968   -7.376725154
     1       2     0.21288     0.30808     0.29759  -19.497661854  -26.874957204   -7.377295350
     1       2     0.21722     0.31437     0.30366  -19.497716734  -26.875194520   -7.377477786
     1       3     0.21722     0.08214     0.15183  -19.051609690  -26.362106155   -7.310496465
     1       3     0.21288     0.08049     0.14879  -19.051567249  -26.362006881   -7.310439633
     1       3     0.20853     0.07885     0.14576  -19.051582060  -26.361846704   -7.310264644
     1       3     0.20419     0.07721     0.14272  -19.051272825  -26.361156643   -7.309883818
     1       3     0.19984     0.07556     0.13968  -19.050940607  -26.360187675   -7.309247067
     1       3     0.19550     0.07392     0.13665  -19.050630016  -26.359134580   -7.308504564
     1       3     0.19116     0.07228     0.13361  -19.050372037  -26.358248533   -7.307876496
     1       3     0.18681     0.07064     0.13057  -19.050166241  -26.357677547   -7.307511306
     1       3     0.18247     0.06899     0.12754  -19.049748470  -26.357223462   -7.307474993
     1       3     0.17812     0.06735     0.12450  -19.049399718  -26.357186852   -7.307787134
     1       3     0.17378     0.06571     0.12146  -19.049162667  -26.357600395   -7.308437728
     1       3     0.16943     0.06407     0.11843  -19.048643125  -26.358008144   -7.309365019
     1       3     0.16509     0.06242     0.11539  -19.048144352  -26.358590262   -7.310445909
     1       3     0.16074     0.06078     0.11235  -19.047606425  -26.359070128   -7.311463703
     1       3     0.15640     0.05914     0.10932  -19.047069155  -26.359245366   -7.312176211
     1       3     0.15206     0.05749     0.10628  -19.046485828  -26.359004281   -7.312518453
     1       3     0.14771     0.05585     0.10324  -19.045592510  -26.358257053   -7.312664543
     1       3     0.14337     0.05421     0.10021  -19.044976511  -26.357662101   -7.312685590
     1       3     0.13902     0.05257     0.09717  -19.044238765  -26.356821080   -7.312582315
     1       3     0.13468     0.05092     0.09413  -19.043568982  -26.355897316   -7.312328334
     1       3     0.13033     0.04928     0.09110  -19.042752628  -26.354563467   -7.311810838
     1       3     0.12599     0.04764     0.08806  -19.041854478  -26.352897599   -7.311043121
     1       3     0.12164     0.04600     0.08502  -19.041051789  -26.351298444   -7.310246655
     1       3     0.11730     0.04435     0.08199  -19.040234388  -26.349881907   -7.309647518
     1       3     0.11296     0.04271     0.07895  -19.039392241  -26.348770268   -7.309378027
     1       3     0.10861     0.04107     0.07591  -19.038457271  -26.347956486   -7.309499215
     1       3     0.10427     0.03942     0.07288  -19.037776984  -26.347784938   -7.310007954
     1       3     0.09992     0.03778     0.06984  -19.036960293  -26.347834525   -7.310874232
     1       3     0.09558     0.03614     0.06681  -19.036145659  -26.348167841   -7.312022182
     1       3     0.09123     0.03450     0.06377  -19.035642857  -26.348914927   -7.313272070
     1       3     0.08689     0.03285     0.06073  -19.034819042  -26.349167125   -7.314348083
     1       3     0.08254     0.03121     0.05770  -19.033986091  -26.348984953   -7.314998861
     1       3     0.07820     0.02957     0.05466  -19.033387429  -26.348675680   -7.315288251
     1       3     0.07386     0.02793     0.05162  -19.032341363  -26.347745494   -7.315404131
     1       3     0.06951     0.02628     0.04859  -19.031727076  -26.347106206   -7.315379130
     1       3     0.06517     0.02464     0.04555  -19.031065425  -26.346275298   -7.315209873
     1       3     0.06082     0.02300     0.04251  -19.030639237  -26.345473806   -7.314834569
     1       3     0.05648     0.02136     0.03948  -19.029884596  -26.343986115   -7.314101519
     1       3     0.05213     0.01971     0.03644  -19.029495145  -26.342590728   -7.313095583
     1       3     0.04779     0.01807     0.03340  -19.029379726  -26.341466071   -7.312086346
     1       3     0.04344     0.01643     0.03037  -19.028835595  -26.340154667   -7.311319072
     1       3     0.03910     0.01478     0.02733  -19.028395212  -26.339308270   -7.310913057
     1       3     0.03476     0.01314     0.02429  -19.028129303  -26.339026137   -7.310896834
     1       3     0.03041     0.01150     0.02126  -19.027857352  -26.338248810   -7.310391458
     1       3     0.02607     0.00986     0.01822  -19.021584963  -26.309183176   -7.287598213
     1       3     0.02172     0.00821     0.01518  -19.015352600  -26.302328491   -7.286975892
     1       3     0.01738     0.00657     0.01215  -19.010141074  -26.297318466   -7.287177392
     1       3     0.01303     0.00493     0.00911  -19.006271553  -26.294143531   -7.287871978
     1       3     0.00869     0.00329     0.00607  -19.003275837  -26.291843553   -7.288567716
     1       3     0.00434     0.00164     0.00304  -19.001116383  -26.290173704   -7.289057322
     1       3     0.00000     0.00000     0.00000  -19.000305987  -26.289343890   -7.289037903
     1       3     0.00434     0.00629     0.00607  -19.002542639  -26.291623438   -7.289080799
     1       3     0.00869     0.01257     0.01215  -19.007192060  -26.295197844   -7.288005784
     1       3     0.01303     0.01886     0.01822  -19.014642012  -26.302589134   -7.287947122
     1       3     0.01738     0.02515     0.02429  -19.019232933  -26.322344494   -7.303111562
     1       3     0.02172     0.03144     0.03037  -19.017180839  -26.323270754   -7.306089915
     1       3     0.02607     0.03772     0.03644  -19.022754556  -26.313898428   -7.291143872
     1       3     0.03041     0.04401     0.04251  -19.030315067  -26.324826571   -7.294511504
     1       3     0.03476     0.05030     0.04859  -19.038543737  -26.333688002   -7.295144265
     1       3     0.03910     0.05659     0.05466  -19.047488339  -26.342574322   -7.295085983
     1       3     0.04344     0.06287     0.06073  -19.057086987  -26.352127920   -7.295040933
     1       3     0.04779     0.06916     0.06681  -19.067315937  -26.365604022   -7.298288085
     1       3     0.05213     0.07545     0.07288  -19.078161618  -26.383089284   -7.304927666
     1       3     0.05648     0.08174     0.07895  -19.089347217  -26.400401678   -7.311054461
     1       3     0.06082     0.08802     0.08502  -19.100573411  -26.415108183   -7.314534772
     1       3     0.06517     0.09431     0.09110  -19.111596491  -26.427430941   -7.315834451
     1       3     0.06951     0.10060     0.09717  -19.123466483  -26.439764059   -7.316297575
     1       3     0.07386     0.10688     0.10324  -19.135675060  -26.452035741   -7.316360681
     1       3     0.07820     0.11317     0.10932  -19.147796425  -26.463850667   -7.316054242
     1       3     0.08254     0.11946     0.11539  -19.159891357  -26.475345151   -7.315453794
     1       3     0.08689     0.12575     0.12146  -19.171394505  -26.486589878   -7.315195373
     1       3     0.09123     0.13203     0.12754  -19.182866425  -26.499685042   -7.316818617
     1       3     0.09558     0.13832     0.13361  -19.193756975  -26.515353987   -7.321597013
     1       3     0.09992     0.14461     0.13968  -19.204737577  -26.532289703   -7.327552127
     1       3     0.10427     0.15090     0.14576  -19.215202107  -26.545085797   -7.329883690
     1       3     0.10861     0.15718     0.15183  -19.225228155  -26.555271524   -7.330043369
     1       3     0.11296     0.16347     0.15790  -19.234370667  -26.564283111   -7.329912444
     1       3     0.11730     0.16976     0.16398  -19.243044662  -26.573525243   -7.330480581
     1       3     0.12164     0.17605     0.17005  -19.250963367  -26.584803877   -7.333840509
